PeakID,Title,Scans,RT left(min),RT (min),RT right (min),Precursor m/z,Height,Area,Model masses,Adduct,Isotope,Comment,Reference RT,Reference m/z,Formula,Ontology,InChIKey,SMILES,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,RT similarity,Dot product,Reverse dot product,Fragment presence %,Total score,S/N,MS1 isotopes,MSMS spectrum,Predicted Label,Prediction Probability
6,Unknown,1815,0.5324166,0.5955667,0.72055,102.0127,2680.25,12311.1376953125,,[M+H]+,M + 0,similar chromatogram in higher mz_13; similar chromatogram in higher mz_14; similar chromatogram in higher mz_15; similar chromatogram in higher mz_4; similar chromatogram in higher mz_9; similar chromatogram in higher mz_16,,,,,,,999,False,False,False,,,,,,84.58636,101.94733:58 101.96416:71 102.01267:855 102.95344:38 102.96935:71 103.01611:26 103.95649:28 104.00847:799 105.01061:24 105.06989:62 105.96205:316 106.9928:68,55.93441:45 55.9564:27 56.9633:51 59.93083:81 60.98726:2452 69.93405:10 74.93666:20 75.19996:10 78.99729:78 88.99318:125,0,0.07233155752536297
12,Unknown,1826,0.5222667,0.6091334,0.8205166,104.0085,2951.3125,13622.4013671875,,[M+H]+,M + 0,similar chromatogram in higher mz_13,,,,,,,999,False,False,False,,,,,,126.1961,103.95548:33 104.00845:1029 104.95334:24 105.0116:31 105.0327:17 105.06987:47 105.96304:240 106.99177:43 107.08609:35 107.91648:42 107.95925:175 108.91369:83 108.96281:58,51.93942:25 57.93439:108 59.93081:25 60.98725:342 61.93019:27 62.98302:996 66.92492:10 67.93434:118 68.94155:45 76.93121:27 80.99275:47 90.98596:33 90.98877:126,0,0.097085401148102
1148,Unknown,18238,9.046166,9.143567,9.28195,113.0588,4437.375,29874.18359375,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,74.90224,113.05884:1460 113.09532:271 114.06378:91 114.08996:200 115.0553:254 115.07422:101 116.06166:104 117.06922:378,55.01878:45 55.05442:76 57.9381:20 67.05487:134 69.02945:30 69.03434:731 70.02913:177 71.01204:35 71.04839:43 96.00826:127 113.06059:237,0,0.06792816556980305
1493,Unknown,18403,9.28195,9.3516,9.60065,139.0384,4482.8125,23264.09375,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,101.6641,139.03844:1774 139.07428:120 139.11127:325 140.04357:198 140.11318:70 141.07095:123 141.0919:145 141.12684:81 142.07754:52 143.07716:53 143.08536:247 143.1053:128,50.01609:99 51.02219:392 53.03804:130 55.01947:62 55.0391:90 55.0551:617 57.03205:49 65.0393:787 66.03366:54 67.05482:465 69.03429:86 69.07013:146 70.06518:99 71.05164:20 77.03949:2035 79.05469:511 81.03413:91 81.06855:191 83.04965:113 91.05413:161 93.03381:229 93.0461:82 93.06974:270 95.04912:620 95.06345:136 95.08639:134 97.06381:136 98.09606:73 105.06841:65 119.08308:20 121.02933:671 139.11327:54,0,0.08460994736774874
406,Unknown,12738,5.674817,5.84415,6.051667,143.0889,3548.875,33148.95703125,,[M+H]+,M + 0,similar chromatogram in higher mz_407,,,,,,,999,False,False,False,,,,,,59.32187,143.08886:653 143.15454:21 144.08144:28 144.08732:102 145.09988:28 147.07855:52 147.11541:30,53.03876:188 54.03503:24 55.01875:24 55.05438:142 55.93434:15 56.05024:106 56.94252:55 57.03354:42 57.93508:39 57.94254:61 58.99493:50 59.03108:110 59.04916:31 59.93151:24 60.00363:12 61.01092:5927 62.98918:14 65.03852:23 67.04199:17 69.0172:36 69.06933:16 70.02909:79 71.03182:22 71.95019:13 72.07996:42 73.01008:33 73.06621:8 74.93657:27 75.0257:321 77.00424:27 77.03865:29 79.02072:20 79.04774:11 79.05558:238 80.0497:262 81.01738:11 81.06944:393 82.06545:220 83.03091:25 83.04877:8 84.04514:353 85.07638:182 87.026:87 89.04672:4 93.01492:8 95.03098:187 96.04375:13 97.04741:492 98.06016:29 98.96014:7 100.11223:15 101.04225:33 101.95083:18 108.04438:191 113.04176:14 114.11469:44 115.05805:25 121.04769:4 123.05662:20 123.06314:15 125.07003:56 126.05644:57 128.06197:47,0,0.05
759,Unknown,18073,8.841,8.936216,9.060034,149.0228,19121.8125,125814.25,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,71.00536,149.01562:110 149.0228:5990 149.05871:1183 149.09701:196 149.13292:667 150.02611:577 150.06213:156 150.09816:52 150.13539:97 151.02796:64 151.07254:66 151.07736:143 151.1123:381 151.14845:228 152.06216:64 152.11414:89 152.14558:87 153.055:67 153.07077:58 153.09139:223 153.12657:427,51.02194:37 53.04277:20 55.01847:66 65.03897:1750 65.63722:20 77.0391:295 91.05459:108 93.03333:606 93.06737:35 102.04632:20 103.05391:85 107.04956:802 121.02869:519 121.06536:60 131.04478:25 133.01369:42 149.02284:391 149.05995:178,0,0.013565033311244363
1195,Unknown,18249,9.060034,9.157766,9.337433,149.0229,46555.125,281365.96875,,[M+H]+,M + 0,similar chromatogram in higher mz_1202; similar chromatogram in higher mz_1205; similar chromatogram in higher mz_1169; similar chromatogram in higher mz_1174; similar chromatogram in higher mz_1224,,,,,,,999,False,False,False,,,,,,212.1593,149.02286:17368 149.09467:423 149.13177:916 150.02496:1244 150.13544:145 151.03042:156 151.075:328 151.11115:1122 151.14971:567 152.05858:78 152.11298:137 153.05263:116 153.06961:71 153.09023:368 153.12783:833,63.02078:20 65.03821:3066 77.03827:76 79.05606:41 91.05275:35 93.03241:1406 93.06929:47 107.08409:40 121.02873:911 133.00922:20 133.0126:58 149.0229:801,0,0.025571873201531512
1453,Unknown,18381,9.22715,9.32325,9.36545,153.1276,7351.8125,45686.140625,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,103.3089,153.09002:270 153.12762:2014 154.13002:227 155.06976:122 155.08441:145 155.10761:224 155.14301:91 156.09441:56 157.10154:367 157.1212:214 158.09466:346,52.03052:20 53.03731:78 55.01654:87 55.05508:1141 57.03426:113 57.0698:126 59.04913:100 65.03849:77 67.0548:713 69.04811:39 69.07011:648 71.05079:39 77.03861:621 78.04512:20 79.05467:792 81.03146:53 81.0694:105 83.04962:1750 84.03072:20 91.05503:446 93.06971:715 95.04813:36 95.08445:97 97.06474:1147 105.07038:61 107.07545:44 107.0856:224 109.09947:116 111.07941:103 121.02822:56 125.09847:52 135.11188:71 153.08978:58 153.12738:77,0,0.015106218886812345
1695,Unknown,18579,9.46215,9.573,9.798883,155.1249,5279.5625,26354.431640625,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,133.5203,155.04557:112 155.06998:93 155.08952:38 155.10539:95 155.12492:1337 155.14324:55 156.08116:62 156.12893:211 157.06737:38 157.08825:43 157.10177:96 158.09489:444 158.1257:31 158.15406:311 159.06764:35 159.08001:84 159.10102:66 159.1171:276 160.08555:33 160.1178:43,51.93797:9 53.03806:118 55.01731:40 55.05367:195 56.04951:7 57.01579:31 57.03355:29 57.07058:37 59.03184:1132 61.01017:140 62.9643:41 65.03932:25 66.04563:18 67.05484:327 67.93429:13 69.03269:20 69.07097:30 71.03101:117 71.04919:34 73.04696:1307 73.06539:8 75.02657:24 77.03866:55 79.05385:276 80.9724:226 81.03416:13 81.07034:749 83.02824:8 83.04879:31 83.08542:8 85.02758:34 85.04747:117 87.0626:10 91.05323:70 93.07072:34 95.03195:19 95.0482:15 95.08547:136 97.04549:95 97.06288:8 98.98454:323 99.02551:9 99.06161:102 109.06371:18 109.10159:62 113.05846:13 119.08526:21 127.0567:16 128.06532:22 129.07124:11 153.07048:18 155.0611:13 155.07085:12 155.08549:19,0,0.017304159055450546
975,Unknown,18172,8.706233,9.060034,9.143567,158.1541,17814.8125,105337.65625,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,278.1469,158.15407:5380 159.07879:343 159.11712:810 159.15669:589 160.12154:87 161.06068:142 161.09552:349 161.1316:1143 162.13486:201 163.03983:257 163.07488:447 163.09992:53 163.11118:857 163.14749:1895,57.06512:23 57.06956:265 102.09093:174 158.09492:112 158.15286:130,0,0.11814453434704805
2024,Unknown,19415,10.36165,10.49353,10.68748,161.0592,11838.5,61491.73828125,,[M+H]+,M + 0,similar chromatogram in higher mz_2027; similar chromatogram in higher mz_2015; similar chromatogram in higher mz_2018; similar chromatogram in higher mz_2038,,,,,,,999,False,False,False,,,,,,271.1226,160.97462:43 161.0592:3023 161.09528:119 161.13261:96 162.06223:310 162.98952:60 163.03709:283 163.07464:126 163.11094:73 163.13223:60 163.14725:104 164.1442:38 165.09001:141 165.1278:48 165.16181:63,51.01936:33 51.02286:150 55.01652:54 57.93503:230 65.0353:20 73.93008:197 77.03428:80 77.0403:2591 79.05464:2302 89.03831:525 90.04662:2811 91.05406:383 92.02478:203 101.04019:131 102.0448:110 103.05437:2496 105.07034:733 107.05005:61 115.05479:199 117.03159:34 117.07083:92 118.04122:4054 119.0862:76 127.05435:20 129.04437:53 131.05212:69 132.0528:97 133.06519:4476 137.96281:20 146.0741:54 161.06013:596 161.09499:101,0,0.12819199952869093
545,Unknown,15532,7.348834,7.528017,7.676567,163.0398,2482.9375,31562.869140625,,[M+H]+,M + 0,nan,,,,,,,999,False,False,False,,,,,,17.31671,163.03853:539 163.10988:37 163.13117:64 163.14619:26 164.04016:54 165.06753:29 165.08895:35 166.98619:20 167.10909:31 167.15344:42 167.82202:20,50.01681:37 51.02432:194 55.05367:86 55.93436:10 57.06984:137 60.98491:10 65.03854:30 77.03953:1973 79.05386:126 80.94242:18 89.05969:32 91.05511:45 92.02583:285 95.08262:22 105.03229:146 105.04334:52 105.06544:32 107.05119:47 107.08467:32 115.05703:23 117.06779:21 120.021:103 133.02802:223 135.04362:294 135.05615:10 163.03947:360,0,0.08672357599304505
2165,Unknown,19690,10.67355,10.7824,10.97902,171.1374,9350.4375,56810.51171875,,[M+H]+,M + 0,similar chromatogram in higher mz_2161; similar chromatogram in higher mz_2166,,,,,,,999,False,False,False,,,,,,153.5605,171.09764:50 171.11944:37 171.13739:2663 172.09926:25 172.1134:27 172.1417:250 172.98645:29 173.08058:265 173.09606:70 173.13217:91 173.16313:32 174.08281:22 174.12679:910 174.98028:24 174.99195:202 175.01529:32 175.07625:37 175.11257:65 175.13073:140 175.1489:325 176.10634:37,55.01509:13 55.04563:12 55.05436:617 57.03499:32 57.05499:19 57.07054:3594 59.04913:19 65.03849:13 67.05399:85 69.07174:94 71.04914:35 71.0855:14 72.04414:820 73.02847:1856 75.02566:226 77.00506:11 78.80037:7 79.05467:34 81.0694:41 83.04694:12 83.08536:180 85.06549:57 89.07165:138 93.05647:22 93.06782:12 94.0606:35 95.08541:25 97.06281:11 99.04495:114 99.11618:11 101.05994:436 104.05996:7 107.08864:11 108.08815:7 109.10049:51 114.06751:12 115.05694:14 115.07376:32 125.09518:21 127.0544:16 128.0619:31 129.06892:23 129.09232:70 141.07175:14 143.08852:15 145.0641:7 155.08661:11 156.09418:38 171.11781:13 171.13834:787,0,0.013511511607401274
