Name,InChlKey,SMILES,Formula,Precursor m/z,MS/MS_m/z,MSMS spectrum,Adduct,CE,Source,NLFentanyl_C9H10NO,ProIonFentanyl_C8H9+,ProIonFentanyl_C13H18N+,MS2 feature
Furanylethyl Fentanyl,AFTQVAQNGJXATO-UHFFFAOYSA-N,CCC(N(C1CCN(CCC2=CC=CO2)CC1)C3=CC=CC=C3)=O,C20H26N2O2,327.2067,"178.1226 999
95.0491 499
146.0964 333
245.1648 249
189.1386 199
67.0542 166",178.1226:999 95.0491:499 146.0964:333 245.1648:249 189.1386:199 67.0542:166,[M+H]+,,HighResNPS,0,0,0,0
4'-Methylfentanyl,AGSRCZOBGTWFFY-UHFFFAOYSA-N,CC1=CC=C(C=C1)CCN1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1,C23H30N2O,351.2431,"202.1590 999
119.0855 499
216.1383 333
160.1121 249",202.1590:999 119.0855:499 216.1383:333 160.1121:249,[M+H]+,,HighResNPS,0,0,0,0
"alpha,3-Dimethylfentanyl",AIQRMKYTAFSPLA-UHFFFAOYSA-N,CC1CN(CCC1N(C(CC)=O)C1=CC=CC=C1)C(CC1=CC=CC=C1)C,C24H32N2O,365.2587,216.1747 999,216.1747:999,[M+H]+,,HighResNPS,0,0,0,0
4''-Nitrofentanyl,AJLYIWINRIOUCY-UHFFFAOYSA-N,[N+](=O)([O-])C1=CC=C(C=C1)CCN1CCC(CC1)N(C(CC)=O)C1=CC=CC=C1,C22H27N3O3,382.2125,"233.1284 999
150.0549 499",233.1284:999 150.0549:499,[M+H]+,,HighResNPS,0,0,0,0
m-Fluorocyclopropylbenzylfentanyl,AOLNSOXELLOWKK-UHFFFAOYSA-N,O=C(C1CC1)N(C2CCN(CC3=CC=CC=C3)CC2)C4=CC=CC(F)=C4,C22H25FN2O,353.2024,"174.1277 999
91.0542 499",174.1277:999 91.0542:499,[M+H]+,,HighResNPS,0,0,0,0
p-Fluoro-remifentanil ethyl ester,ASWVHLIRIKUHLW-UHFFFAOYSA-N,C(C)OC(CCN1CCC(CC1)(C(=O)OC)N(C(CC)=O)C1=CC=C(C=C1)F)=O,C21H29FN2O5,409.2133,242.1387 999,242.1387:999,[M+H]+,,HighResNPS,0,0,0,0
"2', ortho-Difluoro Fentanyl",AUXYZYMWQUXVDV-UHFFFAOYSA-N,FC1=C(CCN2CCC(CC2)N(C(CC)=O)C2=C(C=CC=C2)F)C=CC=C1,C22H26F2N2O,373.2086,"206.1339 999
123.0605 499
234.1289 333
150.0713 249",206.1339:999 123.0605:499 234.1289:333 150.0713:249,[M+H]+,,HighResNPS,0,0,0,0
para-Fluoro Crotonyl Fentanyl,AXNCZLWDQLHJBM-QHHAFSJGSA-N,FC1=CC=C(C=C1)N(C(\C=C\C)=O)C1CCN(CC1)CCC1=CC=CC=C1,C23H27FN2O,367.218,"188.1434 999
105.0699 499
299.1918 333
246.1289 249",188.1434:999 105.0699:499 299.1918:333 246.1289:249,[M+H]+,,HighResNPS,0,1,1,2
ortho-Isopropyl Furanyl Fentanyl,AYVSHUVVWFNBHR-UHFFFAOYSA-N,O=C(C1=CC=CO1)N(C2=CC=CC=C2C(C)C)C3CCN(CCC4=CC=CC=C4)CC3,C27H32N2O2,417.2536,"188.1434 999
105.0699 499
296.1645 333",188.1434:999 105.0699:499 296.1645:333,[M+H]+,,HighResNPS,0,1,1,2
para-Chloro Furanyl Fentanyl,AZXDRBNBIMRBJI-UHFFFAOYSA-N,O=C(C1=CC=CO1)N(C2=CC=C(Cl)C=C2)C3CCN(CCC4=CC=CC=C4)CC3,C24H25ClN2O2,409.1677,"188.1434 999
105.0699 499
146.0964 333",188.1434:999 105.0699:499 146.0964:333,[M+H]+,,HighResNPS,0,1,1,2
